,,,,,,,,,,,,
,Subject Lines,enthusiasm,urgency,surprise,trust,curiosity,greed,exclusivity,other,TOTAL,OTHER ?,Team member
,Coming Up: Virtual Recruiting Events in 2021,5,3,0,0,2,0,0,0,10,None,Clement
,Laptop Loan Program and Upcoming Workshops,4,2,0,0,2,0,2,0,10,,Clement
,"Don't miss out on your chance to win $4,500!",4,2,0,0,2,0,2,0,10,,Clement
,Everything you need to get started for Spring,2,0,0,4,2,0,2,0,10,,Clement
,Make Me an Offer,2,1,3,0,4,0,0,0,10,,Clement
,"Optimization - plus, 9 Words from P.G. Wodehouse",2,0,0,2,3,0,3,0,10,,Clement
,"Recommended Job - Michael Page has posted a new open position for
 Business Analyst.",2,2,2,0,2,2,0,0,10,,Clement
,CI | Application Review,4,0,0,0,6,0,0,0,10,,Clement
,2020 Summer Session Payment Reminder,0,4,0,0,3,3,0,0,10,,Clement
,"Find Out How Mission ""Cares"" For You",2,0,0,4,4,0,0,0,10,,Clement
,"December's Hot Jobs: 36 Full-Time, 49 Part-Time, 100+ Internships!",5,2,0,0,3,0,0,0,10,,Clement
,needs your advice on BearX,0,4,0,2,2,0,2,0,10,,Clement
,Participate in an International Study on COVID-19,5,0,0,0,2,0,3,0,10,,Clement
,Finish enrolling for Care.com now.,0,6,0,0,0,0,4,0,10,,Clement
,Join the Maple User Community,3,0,0,3,0,0,4,0,10,,Clement
,$32K Scholarship Giveaway Expires TONIGHT!,2,5,0,0,0,3,0,0,10,,Clement
,Have you seen these jobs yet?,5,0,0,0,5,0,0,0,10,,Clement
,General Registration is now open for Winter/Spring!,5,2,0,0,3,0,0,0,10,,Clement
,Make 2021 Memorable by Signing Up for a Winter/Spring Class!,4,0,0,2,0,0,4,0,10,,Clement
,"When we say tuition, you say?",0,0,3,0,3,4,0,0,10,,Clement
,Some Government Job to Keep Applied During COVID-19,4,0,0,0,3,0,3,0,10,,Clement
,Potential Advisor Opportunity,6,0,2,0,2,0,0,0,10,,Clement
,Celebrating Black History Month,10,0,0,0,0,0,0,0,10,,Clement
,New jobs for University of California-Berkeley students!,5,0,0,0,2,0,3,0,10,,Clement
,Classes Start Aug. 29; Welcome to Fall 2020,5,0,0,0,5,0,0,0,10,,Clement
,10 resources to champion diversity in the workplace,0,0,0,5,5,0,0,0,10,,Clement
,Looking back at 2020 PitchBook product updates,0,0,0,5,5,0,0,0,10,,Clement
,scholarships for CA residents,0,0,0,2,0,3,5,0,10,,Clement
,A global bank that doubles as a cybersecurity powerhouse? Count us in!,5,0,0,3,2,0,0,0,10,,Clement
,"Happy 2021!! Reward yourself with helpful startup tips & strategies.
 Learn how to keep your alumni engaged!",4,0,0,0,0,2,4,0,10,,Clement
,Computer Lab Opens; Hispanic Heritage Month Begins,4,0,2,0,4,0,0,0,10,,Clement
,Books that were adapted into Netflix Originals,0,0,0,0,10,0,0,0,10,,Clement
,Don't Miss International Education Week,0,3,0,0,3,0,4,0,10,,Clement
,Scholarship Opportunities for Mission Students,5,0,3,0,0,0,2,0,10,,Clement
,Learn 45 different collaboration tools in 90 mins,6,0,0,2,2,0,0,0,10,,Clement
,Laptop / Hotspot Loan Program for Fall Semester,4,0,0,4,0,0,2,0,10,,Clement
,"Tanish, SANTA CLARA COUNTY, CA is hiring near you.",4,0,0,0,0,0,6,0,10,,Clement
,"Happy February - Come check out the newest startup jobs curated just
 for you!",4,0,0,0,3,0,3,0,10,,Clement
,Hi Tanish! I saw your interest in Deutsche Bank jobs,3,0,0,0,3,0,4,0,10,,Clement
,"So many opportunities! - Come check out the newest startup jobs
 curated just for you!",5,0,0,0,2,0,3,0,10,,Clement
,There is still time to register for Fall!,5,5,0,0,0,0,0,0,10,,Clement
,Check out these new sports roles.,3,3,0,0,4,0,0,0,10,,Clement
,Drop #6: Carline - Preschool Tech?!,0,0,5,0,5,0,0,0,10,,Clement
,"Spring Classes Start Next Week, See What We Have to Offer!",3,3,0,0,2,0,2,0,10,,Clement
,You have a new message!,0,0,3,0,4,0,3,0,10,,Clement
,Drop #4: Sike Insights,2,0,5,0,3,0,0,0,10,,Clement
,Develop for Good Nooks Survey - $200 Amazon Gift Card Raffle,3,0,0,0,0,4,3,0,10,,Clement
,"Happy November from Harness: We've launched on Product Hunt! ""How to
 Fund Your Startup"" Workshop, and Hot New Jobs!",4,3,0,0,3,0,0,0,10,,Clement
,[econ 100b] Announcement #1 on 12/29/2020,0,0,0,0,10,0,0,0,10,,Clement
,Get more from Maple,2,0,0,0,0,5,3,0,10,,Clement
,"UC Choral Ensembles safely and creatively continues. Come sing with
 us!",6,0,0,0,0,0,4,0,10,,Clement
,"Tanish, Pacific Gas and Electric Company is hiring near you.",4,0,0,0,4,0,2,0,10,,Clement
,Tanish: check out this Care Giver job & more top job matches for you!,3,0,0,0,4,0,3,0,10,,Clement
,Start Your Dictionary.com Adventure Here!,5,3,0,0,0,0,2,0,10,,Clement
,Your Maple Evaluation is Ready to Go,4,2,0,0,2,0,2,0,10,,Clement
,You Won't Believe What is Online This Fall!,0,0,4,0,6,0,0,0,10,,Clement
,"Want to get 50,000 Instagram followers organically?",6,0,0,0,4,0,0,0,10,,Clement
,Read free for 30 days,3,2,0,0,0,5,0,0,10,,Clement
,"December's Hot Jobs: 35 Full-Time, 49 Part-Time, 100+ Internships!",5,0,0,2,3,0,0,0,10,,Clement
,Add your resume and apply in one-click,7,0,0,3,0,0,0,0,10,,Clement
,Register for Fall Classes Before They Fill,0,10,0,0,0,0,0,0,10,,Clement
,It is Transfer Week for Cal States!,6,2,0,0,0,0,2,0,10,,Clement
,"[Wejoinin] Thanks for signing up for 'Voyager Consulting - Spring
 2021 First Round Interviews'!",8,0,0,0,0,0,2,0,10,,Clement
,A Little Bird Told Us Spring Starts January 30,0,0,3,0,7,0,0,0,10,,Clement
,Drop #3: Medinas - Marketplace for Medical Equipment,0,2,0,5,3,0,0,0,10,,Clement
,We've got new finance jobs for you!,3,0,3,0,2,0,2,0,10,,Clement
,Goodbye 2020.,0,0,0,0,10,0,0,0,10,,Clement
,"Outcome of your Interview for the 2021 Summer Internship - Technical
 Operations Analysis Intern role at Nasdaq",0,0,0,0,8,0,2,0,10,,Clement
,"Harness wants to hear from you for our Upcoming Event! Sign up for
 next week's Virtual Startup Pitch Competition & read about ""Building A
 Startup""!",3,3,0,0,4,0,0,0,10,,Clement
,You're on your way to a shining resume!,6,0,0,4,0,0,0,0,10,,Clement
,"Tell us about Daision.AI, Harvey Mudd College...",2,0,0,6,0,0,2,0,10,,Clement
,Deadline to Register for Free Grab and Go Lunches is June 4 at 9 pm,0,8,0,0,0,0,2,0,10,,Clement
,Confirm your Maplesoft e-mail subscription changes,0,10,0,0,0,0,0,0,10,,Clement
,Get the conversation started in Slack,4,6,0,0,0,0,0,0,10,,Clement
,Everything okay with Tanish?,0,0,5,0,3,0,2,0,10,,Clement
,Sleigh your holidays with these jobs,3,0,0,0,4,0,3,0,10,,Clement
,"Tanish, Reminder, $32K scholarship expires TONIGHT",0,6,0,0,0,4,0,0,10,,Clement
,Know how COVID-19 has Affected your Area!,0,0,0,0,10,0,0,0,10,,Clement
,"Week In Review: Black Friday, Ascertainment, Hillbilly, and more",0,0,0,0,10,0,0,0,10,,Clement
,The next biggest thing,4,0,0,2,4,0,0,0,10,,Clement
,Thank you for your recent interest in Maplesoft.,0,0,0,4,3,0,3,0,10,,Clement
,Develop for Good Newsletter - Jan 2021,6,0,0,0,4,0,0,0,10,,Clement
,RE: Action Required - Last Chance! [8 PM EST],0,10,0,0,0,0,0,0,10,,Clement
,Telehealth for Pets! | Drop #12,4,0,0,0,4,0,2,0,10,,Clement
,TODAY: Houston Freshman Internship Open House Zoom Details,2,6,0,0,2,0,0,0,10,,Clement
,LeetCode Weekly Digest,2,0,0,4,2,0,2,0,10,,Clement
,Apollo for LinkedIn,0,0,0,6,4,0,0,0,10,,Clement
,Join the company that works directly with NASA...,4,0,0,4,0,0,2,0,10,,Clement
,Drop #5: TuMeke - Computer Vision for Safer Factories,6,0,0,0,0,0,4,0,10,,Clement
,Remote Internship Application,4,3,0,0,3,0,0,0,10,,Clement
,Are you looking at Digital Marketing as a Career in 2021?,4,0,0,0,6,0,0,0,10,,Clement
,"Tanish, looking for a job?",3,0,0,0,3,0,4,0,10,,Clement
,You're Invited: An Inside Look on Working at a Seed Stage Startup,4,0,3,0,0,0,3,0,10,,Clement
,Remote Students Newsletter - 8/17,5,0,0,0,5,0,0,0,10,,Clement
,Explore careers at Clorox,4,0,0,0,4,0,2,0,10,,Clement
,Your career awaits,2,5,0,0,1,0,2,0,10,,Tanish
,Welcome to the Market Games Main Rounds!,4,4,0,0,0,0,2,0,10,,Tanish
,Import your data & sync your CRM to Apollo,4,2,0,0,0,0,4,0,10,,Tanish
,Jobs are not Compromised- NEW OPENINGS 9th May,4,,,,,,,,4,,Tanish
,Business Administration? We've got you!,4,,,,,,,,4,,Tanish
,"Welcome! Are you interested in this job near Santa Clara, CA? I found it while browsing Jobcase",4,,,,,,,,4,,Tanish
,"Amazon Openings updated 12/2/2020:  Tanish, find an exciting job with Amazon!",4,,,,,,,,4,,Tanish
,Sign Up for a Late Start Class or Get Help with UC/CSU Apps!,4,,,,,,,,4,,Tanish
,10 new jobs for University of California-Berkeley students!,4,,,,,,,,4,,Tanish
,You're Invited: STEM and Business Career Development Summit!,4,,,,,,,,4,,Tanish
,"October's Hot Jobs - 43 Full-Time Jobs, 37 Part-Time Jobs, 92
 Internships, 29 Co-Founder Roles & more!",4,,,,,,,,4,,Tanish
,We've got new data science jobs for you!,4,,,,,,,,4,,Tanish
,Top companies are looking for you on WayUp!,4,,,,,,,,4,,Tanish
,Tanish $32K scholarship giveaway expires soon!,4,,,,,,,,4,,Tanish
,"Happy Holidays from Harness! Check out our gift to you & we need your
 input for our January Event!",4,,,,,,,,4,,Tanish
,"January's Hot Jobs: 36 Full-Time, 51 Part-Time, 100+ Internships!",4,,,,,,,,4,,Tanish
,TBTM Scholarship Result,4,,,,,,,,4,,Tanish
,Tanish $32K Scholarship Giveaway Expires Tonight!,4,,,,,,,,4,,Tanish
,"You're Invited: Motivation, Positivity, and Perseverance Masterclass",3,,,,,,,,3,,Tanish
,QUIZ: Your perfect job,3,,,,,,,,3,,Tanish
,NEW jobs for Business Administration majors!,3,,,,,,,,3,,Tanish
,Want to win $500?,3,,,,,,,,3,,Tanish
,Teaching math outside the classroom?,3,,,,,,,,3,,Tanish
,"Hello from Harness: Learn Why One Mentor Simply Isn't Enough -
 Harness Event: ""Building a Brand From Scratch""",3,,,,,,,,3,,Tanish
,See All the Schools You Can Transfer Your Mission Degree to,3,,,,,,,,3,,Tanish
,Launch a career at this global brand,2,,,,,,,,2,,Tanish
,Mission College is Open for All,2,,,,,,,,2,,Tanish
,Did You Know?,2,,,,,,,,2,,Tanish
,"January's Hot Jobs: 34 Full-Time, 51 Part-Time, 100+ Internships!",2,,,,,,,,2,,Tanish
,"December's Hot Jobs: 43 Full-Time Jobs, 43 Part-Time Jobs, 100+
 Internships, 32 Co-Founder Roles & more!",2,,,,,,,,2,,Tanish
,Find Ways to Pay for College This Fall,2,,,,,,,,2,,Tanish
,Virtual Open Houses Starts Later This Week,2,,,,,,,,2,,Tanish
,"Tanish, your profile's missing something...",2,,,,,,,,2,,Tanish
,Tanish's Award,2,,,,,,,,2,,Tanish
,See what's happening at Mission College,2,,,,,,,,2,,Tanish
,"Tanish, New York LIfe is hiring.",2,,,,,,,,2,,Tanish
,Do you still work at Indcisneros For Congress?,2,,,,,,,,2,,Tanish
,What's Up at Mission College This Week,2,,,,,,,,2,,Tanish
,"Hello from Harness: 1 Abnormal Goal for 2021 & How to Defeat Burnout
 as a College Student",2,,,,,,,,2,,Tanish
,Have You Visited the Student Help Center Yet?,2,,,,,,,,2,,Tanish
,Checked in with your team today?,2,,,,,,,,2,,Tanish
,New office location: Hong Kong,2,,,,,,,,2,,Tanish
,Complete your setup with the Slack desktop app,1,,,,,,,,1,,Tanish
,Notion 2.10,n.a.,,,,,,,,0,,Clement
,Julia Camacho mentioned you in Users can view all resolved issues in their district,n.a.,,,,,,,,0,,Clement
,Julia Camacho mentioned you in 12/19 Dev Meeting,n.a.,,,,,,,,0,,Clement
,"Intro Sessions to CS61A, CS61B, CS61C, CS70 Invite",n.a.,,,,,,,,0,,Clement
,Ritvik Pandey mentioned you in Calculate S&P 500 stock change up to 15 minutes after important phrase is said (determined via PF-IDF) and put in CSV for training set,n.a.,,,,,,,,0,,Clement
,CS 61A Exam Proctoring Link & PDF,n.a.,,,,,,,,0,,Clement
,Ishir V mentioned you in Research Word2Vec,n.a.,,,,,,,,0,,Clement
,"[Wejoinin] Thanks for signing up for 'DiversaTech Spring 2021 First
 Round Interview'!",n.a.,,,,,,,,0,,Tanish
,Message from Tab,n.a.,,,,,,,,0,,Tanish
,[econ 100B] Announcement #2 on 12-31-2020,n.a.,,,,,,,,0,,Tanish
,Deloitte Recruiter Coffee Chat Confirmation- 2/23/21,n.a.,,,,,,,,0,,Tanish